Country,Country Code,Inbound arrivals of tourists_2013,Inbound arrivals of tourists_2014,Inbound arrivals of tourists_2015,Inbound arrivals of tourists_2016,Inbound arrivals of tourists_2017,Inbound arrivals of tourists_2018,Inbound arrivals of tourists_2019,Inbound arrivals of tourists_2020,Inbound arrivals of tourists_2021,Inbound arrivals of tourists_2022
Gambia,GMB,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0,45000.0
Georgia,GEO,1067000.0,1067000.0,1067000.0,1067000.0,1067000.0,1067000.0,1067000.0,1067000.0,1067000.0,1067000.0
Germany,DEU,14847000.0,14847000.0,14847000.0,14847000.0,14847000.0,14847000.0,14847000.0,14847000.0,14847000.0,14847000.0
Ghana,GHA,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0,286000.0
Greece,GRC,10130000.0,10130000.0,10130000.0,10130000.0,10130000.0,10130000.0,10130000.0,10130000.0,10130000.0,10130000.0
Grenada,GRD,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0,108000.0
Guadeloupe,GLP,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0,640000.0
Guam,GUM,1362000.0,1362000.0,1362000.0,1362000.0,1362000.0,1362000.0,1362000.0,1362000.0,1362000.0,1362000.0
Guatemala,GTM,1448000.0,1448000.0,1448000.0,1448000.0,1448000.0,1448000.0,1448000.0,1448000.0,1448000.0,1448000.0
Guinea,GIN,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0,12000.0
Guinea-Bissau,GNB,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0,7800.0
Guyana,GUY,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0,106000.0
Haiti,HTI,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0,145000.0
Honduras,HND,271000.0,271000.0,271000.0,271000.0,271000.0,271000.0,271000.0,271000.0,271000.0,271000.0
Hong Kong,HKG,8007000.0,8007000.0,8007000.0,8007000.0,8007000.0,8007000.0,8007000.0,8007000.0,8007000.0,8007000.0
Hungary,HUN,2878000.0,2878000.0,2878000.0,2878000.0,2878000.0,2878000.0,2878000.0,2878000.0,2878000.0,2878000.0
Iceland,ISL,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0,190000.0
India,IND,2124000.0,2124000.0,2124000.0,2124000.0,2124000.0,2124000.0,2124000.0,2124000.0,2124000.0,2124000.0
Indonesia,IDN,9963000.0,9963000.0,9963000.0,9963000.0,9963000.0,9963000.0,9963000.0,9963000.0,9963000.0,9963000.0
