Country,Country Code,Series,Series Code,2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022]
Cote d'Ivoire,CIV,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,"Unemployment rate,Percent,,,",UNEMPSA_,21.78333333333,19.075,17.775,17.59166666667,16.53333333333,14.74166666667,13.03333333333,14.54166666667,17.175,17.39166666667,18.6,19.81666666667,19.25833333333,17.03333333333,14.94166666667,12.41666666667,9.85833333333,7.75,8.98333333333,8.08333333333,6.775
Cuba,CUB,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Unemployment rate,Percent,,,",UNEMPSA_,3.51666666667,4.10833333333,4.61666666667,5.29166666667,4.55833333333,3.94166666667,3.65833333333,5.39166666667,6.28333333333,7.90833333333,11.85,15.925,16.15833333333,14.93333333333,13,11.1,8.4,7.1,7.625,7.49166666667,6.79166666667
Czech Republic,CZE,"Unemployment rate,Percent,,,",UNEMPSA_,7.29166666667,7.79166666667,8.31666666667,7.93333333333,7.13333333333,5.31666666667,4.40833333333,6.7,7.29166666667,6.71666666667,6.99166666667,6.95833333333,6.125,5.075,3.95,2.88333333333,2.24166666667,2.04166666667,2.55,2.81666666667,2.39166666667
Denmark,DNK,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,3.79602731273,3.59693554847,2.64249348403,4.84444713329,6.07248841166,5.9357600893,6.05246303329,5.74917955579,5.00017590045,4.55994427264,4.12907392325,4.19159720865,3.84839693368,3.67168345573,4.6163725829,3.60134454175,2.52924642744
Developing Countries,DEV,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,7.64945177732,6.9905433081,7.03810338967,7.97859885628,7.63831750812,7.4408386279,7.20539281053,7.30470838613,7.20111208478,7.41095590958,7.9105104976,8.06767317772,7.73926833162,7.93156575967,9.46157220762,8.79350521147,7.23737513096
Djibouti,DJI,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,"Unemployment rate,Percent,,,",UNEMPSA_,..,..,..,..,..,..,..,..,..,..,..,..,..,7.31294048437,7.06849898172,5.51769755548,5.62120317642,6.15003588472,5.82717453356,7.38415928925,5.30047749397
